X,Y,Z,X,Y,Z,X,Y,Z
13709.491,3310395.175,269.358,13707.611,3310385.352,269.427,13709.849,3310395.1,269.602
13709.849,3310395.1,269.602,13707.611,3310385.352,269.427,13707.797,3310385.313,269.554
13707.797,3310385.313,269.554,13707.611,3310385.352,269.427,13707.188,3310382.413,269.538
13707.188,3310382.413,269.538,13707.611,3310385.352,269.427,13706.99,3310382.455,269.403
13707.797,3310385.313,269.554,13707.188,3310382.413,269.538,13708.656,3310382.105,269.508
13709.849,3310395.1,269.602,13707.797,3310385.313,269.554,13709.265,3310385.005,269.524
13709.265,3310385.005,269.524,13707.797,3310385.313,269.554,13708.656,3310382.105,269.508
13709.265,3310385.005,269.524,13708.656,3310382.105,269.508,13712.592,3310384.307,269.609
13712.592,3310384.307,269.609,13708.656,3310382.105,269.508,13711.984,3310381.407,269.593
13709.491,3310395.175,269.358,13709.849,3310395.1,269.602,13710.219,3310396.863,269.596
13710.219,3310396.863,269.596,13709.849,3310395.1,269.602,13711.687,3310396.556,269.566
13711.687,3310396.556,269.566,13709.849,3310395.1,269.602,13711.318,3310394.792,269.572
13711.318,3310394.792,269.572,13709.849,3310395.1,269.602,13709.265,3310385.005,269.524
13709.85,3310396.941,269.345,13709.491,3310395.175,269.358,13710.219,3310396.863,269.596
13712.592,3310384.307,269.609,13711.984,3310381.407,269.593,13715.92,3310383.609,269.524
13715.92,3310383.609,269.524,13711.984,3310381.407,269.593,13715.312,3310380.709,269.508
13711.318,3310394.792,269.572,13712.592,3310384.307,269.609,13714.645,3310394.094,269.657
13714.645,3310394.094,269.657,13712.592,3310384.307,269.609,13715.92,3310383.609,269.524
13709.265,3310385.005,269.524,13712.592,3310384.307,269.609,13711.318,3310394.792,269.572
13711.687,3310396.556,269.566,13711.318,3310394.792,269.572,13715.015,3310395.858,269.651
13715.015,3310395.858,269.651,13711.318,3310394.792,269.572,13714.645,3310394.094,269.657
13714.645,3310394.094,269.657,13715.92,3310383.609,269.524,13717.973,3310393.396,269.572
13717.973,3310393.396,269.572,13715.92,3310383.609,269.524,13717.388,3310383.301,269.554
13717.388,3310383.301,269.554,13715.92,3310383.609,269.524,13716.78,3310380.401,269.538
13716.78,3310380.401,269.538,13715.92,3310383.609,269.524,13715.312,3310380.709,269.508
13717.388,3310383.301,269.554,13716.78,3310380.401,269.538,13717.367,3310380.278,269.238
13715.015,3310395.858,269.651,13714.645,3310394.094,269.657,13718.343,3310395.16,269.566
13718.343,3310395.16,269.566,13714.645,3310394.094,269.657,13717.973,3310393.396,269.572
13717.388,3310383.301,269.554,13717.367,3310380.278,269.238,13717.975,3310383.178,269.254
13717.975,3310383.178,269.254,13717.367,3310380.278,269.238,13717.66,3310380.216,269.538
13717.973,3310393.396,269.572,13717.388,3310383.301,269.554,13719.441,3310393.088,269.602
13719.441,3310393.088,269.602,13717.388,3310383.301,269.554,13717.975,3310383.178,269.254
13717.975,3310383.178,269.254,13717.66,3310380.216,269.538,13718.269,3310383.116,269.554
13718.269,3310383.116,269.554,13717.66,3310380.216,269.538,13717.676,3310380.213,269.554
13719.441,3310393.088,269.602,13717.975,3310383.178,269.254,13719.415,3310392.865,269.601
13719.441,3310393.088,269.602,13719.415,3310392.865,269.601,13719.415,3310392.868,269.601
13719.415,3310392.865,269.601,13717.975,3310383.178,269.254,13718.27,3310383.126,269.554
13718.27,3310383.126,269.554,13717.975,3310383.178,269.254,13718.269,3310383.116,269.554
13718.27,3310383.126,269.554,13718.269,3310383.116,269.554,13718.343,3310383.104,269.629
13718.27,3310383.126,269.554,13718.343,3310383.104,269.629,13719.415,3310392.868,269.601
13718.27,3310383.126,269.554,13719.415,3310392.868,269.601,13719.415,3310392.865,269.601
13718.343,3310383.104,269.629,13718.269,3310383.116,269.554,13717.676,3310380.213,269.554
13718.343,3310395.16,269.566,13717.973,3310393.396,269.572,13719.811,3310394.852,269.596
13719.811,3310394.852,269.596,13717.973,3310393.396,269.572,13719.441,3310393.088,269.602
13719.811,3310394.852,269.596,13719.441,3310393.088,269.602,13719.443,3310393.088,269.6
13719.443,3310393.088,269.6,13719.441,3310393.088,269.602,13719.415,3310392.868,269.601
13711.474,3310404.977,269.28,13709.85,3310396.941,269.345,13711.902,3310404.887,269.572
13711.902,3310404.887,269.572,13709.85,3310396.941,269.345,13710.219,3310396.863,269.596
13711.902,3310404.887,269.572,13710.219,3310396.863,269.596,13711.687,3310396.556,269.566
13711.902,3310404.887,269.572,13711.687,3310396.556,269.566,13713.37,3310404.579,269.542
13713.37,3310404.579,269.542,13711.687,3310396.556,269.566,13715.015,3310395.858,269.651
13713.37,3310404.579,269.542,13715.015,3310395.858,269.651,13716.698,3310403.881,269.627
13716.698,3310403.881,269.627,13715.015,3310395.858,269.651,13718.343,3310395.16,269.566
13713.585,3310414.752,269.187,13711.474,3310404.977,269.28,13711.902,3310404.887,269.572
13713.585,3310414.752,269.187,13711.902,3310404.887,269.572,13713.955,3310414.674,269.439
13713.955,3310414.674,269.439,13711.902,3310404.887,269.572,13715.423,3310414.366,269.409
13715.423,3310414.366,269.409,13711.902,3310404.887,269.572,13713.37,3310404.579,269.542
13715.423,3310414.366,269.409,13713.37,3310404.579,269.542,13718.751,3310413.668,269.494
13718.751,3310413.668,269.494,13713.37,3310404.579,269.542,13716.698,3310403.881,269.627
13716.698,3310403.881,269.627,13718.343,3310395.16,269.566,13720.026,3310403.183,269.59
13720.026,3310403.183,269.59,13718.343,3310395.16,269.566,13719.811,3310394.852,269.596
13718.751,3310413.668,269.494,13716.698,3310403.881,269.627,13722.079,3310412.97,269.516
13722.079,3310412.97,269.516,13716.698,3310403.881,269.627,13720.026,3310403.183,269.59
13720.026,3310403.183,269.59,13719.811,3310394.852,269.596,13721.494,3310402.875,269.62
13721.494,3310402.875,269.62,13719.811,3310394.852,269.596,13719.813,3310394.851,269.595
13719.813,3310394.851,269.595,13719.811,3310394.852,269.596,13719.443,3310393.088,269.6
13722.079,3310412.97,269.516,13720.026,3310403.183,269.59,13723.547,3310412.662,269.546
13723.547,3310412.662,269.546,13720.026,3310403.183,269.59,13721.494,3310402.875,269.62
13721.494,3310402.875,269.62,13719.813,3310394.851,269.595,13721.633,3310402.846,269.525
13723.547,3310412.662,269.546,13721.494,3310402.875,269.62,13721.633,3310402.846,269.525
13723.547,3310412.662,269.546,13721.633,3310402.846,269.525,13723.792,3310412.611,269.379
13715.715,3310424.498,269.013,13713.585,3310414.752,269.187,13713.955,3310414.674,269.439
13713.955,3310414.674,269.439,13715.423,3310414.366,269.409,13716.004,3310424.439,269.209
13716.004,3310424.439,269.209,13715.423,3310414.366,269.409,13717.473,3310424.138,269.179
13717.473,3310424.138,269.179,13715.423,3310414.366,269.409,13718.751,3310413.668,269.494
13715.715,3310424.498,269.013,13713.955,3310414.674,269.439,13716.004,3310424.439,269.209
13717.473,3310424.138,269.179,13718.751,3310413.668,269.494,13720.804,3310423.455,269.264
13720.804,3310423.455,269.264,13718.751,3310413.668,269.494,13722.079,3310412.97,269.516
13720.804,3310423.455,269.264,13722.079,3310412.97,269.516,13724.135,3310422.772,269.345
13724.135,3310422.772,269.345,13722.079,3310412.97,269.516,13723.547,3310412.662,269.546
13717.705,3310433.598,268.833,13715.715,3310424.498,269.013,13716.004,3310424.439,269.209
13717.705,3310433.598,268.833,13716.004,3310424.439,269.209,13717.833,3310433.573,268.92
13717.833,3310433.573,268.92,13716.004,3310424.439,269.209,13717.473,3310424.138,269.179
13717.833,3310433.573,268.92,13717.473,3310424.138,269.179,13719.306,3310433.288,268.89
13719.306,3310433.288,268.89,13717.473,3310424.138,269.179,13720.804,3310423.455,269.264
13719.306,3310433.288,268.89,13720.804,3310423.455,269.264,13722.645,3310432.644,269.026
13722.645,3310432.644,269.026,13720.804,3310423.455,269.264,13724.135,3310422.772,269.345
13717.812,3310434.142,268.821,13717.833,3310433.573,268.92,13717.935,3310434.12,268.905
13717.935,3310434.12,268.905,13717.833,3310433.573,268.92,13719.306,3310433.288,268.89
13717.705,3310433.598,268.833,13717.833,3310433.573,268.92,13717.812,3310434.142,268.821
13717.935,3310434.12,268.905,13719.306,3310433.288,268.89,13719.412,3310433.857,268.875
13719.412,3310433.857,268.875,13719.306,3310433.288,268.89,13722.645,3310432.644,269.026
13724.135,3310422.772,269.345,13723.547,3310412.662,269.546,13725.604,3310422.471,269.375
13725.604,3310422.471,269.375,13723.547,3310412.662,269.546,13725.668,3310422.458,269.332
13725.668,3310422.458,269.332,13723.547,3310412.662,269.546,13723.792,3310412.611,269.379
13722.645,3310432.644,269.026,13724.135,3310422.772,269.345,13725.983,3310431.999,269.162
13725.983,3310431.999,269.162,13724.135,3310422.772,269.345,13725.604,3310422.471,269.375
13725.604,3310422.471,269.375,13725.668,3310422.458,269.332,13727.49,3310431.689,269.164
13725.983,3310431.999,269.162,13725.604,3310422.471,269.375,13727.456,3310431.715,269.192
13727.456,3310431.715,269.192,13725.604,3310422.471,269.375,13727.49,3310431.689,269.164
13719.412,3310433.857,268.875,13722.645,3310432.644,269.026,13722.759,3310433.261,269.011
13722.759,3310433.261,269.011,13722.645,3310432.644,269.026,13725.983,3310431.999,269.162
13722.759,3310433.261,269.011,13725.983,3310431.999,269.162,13726.107,3310432.665,269.147
13726.107,3310432.665,269.147,13725.983,3310431.999,269.162,13727.456,3310431.715,269.192
13726.107,3310432.665,269.147,13727.456,3310431.715,269.192,13727.584,3310432.402,269.177
13727.584,3310432.402,269.177,13727.456,3310431.715,269.192,13728.174,3310432.297,268.877
13728.174,3310432.297,268.877,13727.456,3310431.715,269.192,13728.069,3310432.035,269.183
13728.174,3310432.297,268.877,13728.069,3310432.035,269.183,13728.47,3310432.244,269.177
13728.174,3310432.297,268.877,13728.47,3310432.244,269.177,13728.47,3310432.246,269.177
13728.174,3310432.297,268.877,13728.47,3310432.246,269.177,13729.873,3310442.273,268.623
13728.069,3310432.035,269.183,13727.456,3310431.715,269.192,13727.49,3310431.689,269.164
13719.548,3310443.88,268.619,13717.812,3310434.142,268.821,13717.935,3310434.12,268.905
13719.548,3310443.88,268.619,13717.935,3310434.12,268.905,13719.596,3310443.872,268.651
13719.596,3310443.872,268.651,13717.935,3310434.12,268.905,13719.412,3310433.857,268.875
13720.922,3310453.659,268.362,13719.548,3310443.88,268.619,13720.975,3310453.652,268.397
13720.975,3310453.652,268.397,13719.548,3310443.88,268.619,13719.596,3310443.872,268.651
13720.975,3310453.652,268.397,13719.596,3310443.872,268.651,13722.462,3310453.459,268.367
13722.462,3310453.459,268.367,13719.596,3310443.872,268.651,13721.078,3310443.642,268.621
13721.078,3310443.642,268.621,13719.596,3310443.872,268.651,13719.412,3310433.857,268.875
13721.078,3310443.642,268.621,13719.412,3310433.857,268.875,13722.759,3310433.261,269.011
13721.078,3310443.642,268.621,13722.759,3310433.261,269.011,13724.438,3310443.119,268.757
13724.438,3310443.119,268.757,13722.759,3310433.261,269.011,13726.107,3310432.665,269.147
13722.462,3310453.459,268.367,13721.078,3310443.642,268.621,13725.834,3310453.021,268.503
13725.834,3310453.021,268.503,13721.078,3310443.642,268.621,13724.438,3310443.119,268.757
13724.438,3310443.119,268.757,13726.107,3310432.665,269.147,13727.798,3310442.596,268.893
13727.798,3310442.596,268.893,13726.107,3310432.665,269.147,13727.584,3310432.402,269.177
13725.834,3310453.021,268.503,13724.438,3310443.119,268.757,13729.206,3310452.582,268.639
13729.206,3310452.582,268.639,13724.438,3310443.119,268.757,13727.798,3310442.596,268.893
13727.798,3310442.596,268.893,13727.584,3310432.402,269.177,13729.28,3310442.365,268.923
13729.28,3310442.365,268.923,13727.584,3310432.402,269.177,13728.174,3310432.297,268.877
13729.206,3310452.582,268.639,13727.798,3310442.596,268.893,13730.694,3310452.389,268.669
13730.694,3310452.389,268.669,13727.798,3310442.596,268.893,13729.28,3310442.365,268.923
13728.47,3310432.244,269.177,13728.069,3310432.035,269.183,13728.484,3310432.233,269.195
13729.873,3310442.273,268.623,13728.47,3310432.246,269.177,13730.17,3310442.227,268.923
13730.17,3310442.227,268.923,13728.47,3310432.246,269.177,13730.222,3310442.219,268.976
13730.222,3310442.219,268.976,13728.47,3310432.246,269.177,13728.484,3310432.233,269.195
13728.484,3310432.233,269.195,13728.47,3310432.246,269.177,13728.47,3310432.244,269.177
13729.28,3310442.365,268.923,13728.174,3310432.297,268.877,13729.873,3310442.273,268.623
13730.694,3310452.389,268.669,13729.28,3310442.365,268.923,13731.289,3310452.311,268.369
13731.289,3310452.311,268.369,13729.28,3310442.365,268.923,13729.873,3310442.273,268.623
13731.289,3310452.311,268.369,13729.873,3310442.273,268.623,13731.586,3310452.273,268.669
13731.586,3310452.273,268.669,13729.873,3310442.273,268.623,13730.17,3310442.227,268.923
13731.586,3310452.273,268.669,13730.17,3310442.227,268.923,13730.222,3310442.219,268.976
13722.462,3310453.459,268.367,13725.834,3310453.021,268.503,13726.437,3310458.081,268.404
13726.437,3310458.081,268.404,13725.834,3310453.021,268.503,13729.816,3310457.703,268.54
13729.816,3310457.703,268.54,13725.834,3310453.021,268.503,13729.206,3310452.582,268.639
13720.975,3310453.652,268.397,13722.462,3310453.459,268.367,13723.058,3310458.459,268.268
13723.058,3310458.459,268.268,13722.462,3310453.459,268.367,13726.437,3310458.081,268.404
13720.922,3310453.659,268.362,13720.975,3310453.652,268.397,13721.567,3310458.625,268.298
13721.567,3310458.625,268.298,13720.975,3310453.652,268.397,13723.058,3310458.459,268.268
13721.508,3310458.632,268.258,13720.922,3310453.659,268.362,13721.567,3310458.625,268.298
13729.816,3310457.703,268.54,13729.206,3310452.582,268.639,13731.306,3310457.536,268.57
13731.306,3310457.536,268.57,13729.206,3310452.582,268.639,13730.694,3310452.389,268.669
13731.306,3310457.536,268.57,13730.694,3310452.389,268.669,13731.903,3310457.47,268.27
13731.903,3310457.47,268.27,13730.694,3310452.389,268.669,13731.289,3310452.311,268.369
13731.903,3310457.47,268.27,13731.289,3310452.311,268.369,13732.201,3310457.436,268.57
13732.201,3310457.436,268.57,13731.289,3310452.311,268.369,13731.586,3310452.273,268.669
13732.201,3310457.436,268.57,13731.586,3310452.273,268.669,13732.506,3310457.402,268.876
13732.506,3310457.402,268.876,13731.586,3310452.273,268.669,13731.953,3310452.225,269.039
13731.953,3310452.225,269.039,13731.586,3310452.273,268.669,13730.222,3310442.219,268.976
13721.508,3310458.632,268.258,13721.567,3310458.625,268.298,13722.07,3310463.439,268.231
13722.07,3310463.439,268.231,13721.567,3310458.625,268.298,13723.563,3310463.292,268.201
13723.563,3310463.292,268.201,13721.567,3310458.625,268.298,13723.058,3310458.459,268.268
13721.904,3310463.455,268.119,13721.508,3310458.632,268.258,13722.07,3310463.439,268.231
13723.563,3310463.292,268.201,13723.058,3310458.459,268.268,13726.947,3310462.958,268.308
13726.947,3310462.958,268.308,13723.058,3310458.459,268.268,13726.437,3310458.081,268.404
13726.947,3310462.958,268.308,13726.437,3310458.081,268.404,13730.331,3310462.625,268.415
13730.331,3310462.625,268.415,13726.437,3310458.081,268.404,13729.816,3310457.703,268.54
13730.331,3310462.625,268.415,13729.816,3310457.703,268.54,13731.823,3310462.478,268.445
13731.823,3310462.478,268.445,13729.816,3310457.703,268.54,13731.306,3310457.536,268.57
13731.823,3310462.478,268.445,13731.306,3310457.536,268.57,13732.421,3310462.419,268.145
13732.421,3310462.419,268.145,13731.306,3310457.536,268.57,13731.903,3310457.47,268.27
13732.421,3310462.419,268.145,13731.903,3310457.47,268.27,13732.719,3310462.389,268.445
13732.719,3310462.389,268.445,13731.903,3310457.47,268.27,13732.201,3310457.436,268.57
